선수명,팀명,포지션,경기수,세트수,득점,공격시도,공격성공,공격성공률,공격효율(%),총연봉(원),총연봉(억),TPC(총공헌점수),가성비(1억당_TPC),세트당_TPC,대체선수_기준점,승리기여도(WAR),가성비(1억당_WAR),순위,시즌코드,시즌명,리그코드,리그명,팀코드,선수코드,등번호,성별,공격피블록,공격범실,세트당공격,오픈공격시도,오픈공격성공,오픈공격피블록,오픈공격범실,세트당오픈공격,오픈공격성공률,시간차공격시도,시간차공격성공,시간차공격피블록,시간차공격범실,세트당시간차공격,시간차공격성공률,이동공격시도,이동공격성공,이동공격피블록,이동공격범실,세트당이동공격,이동공격성공률,후위공격시도,후위공격성공,후위공격피블록,후위공격범실,세트당후위공격,후위공격성공률,속공시도,속공성공,속공피블록,속공범실,세트당속공,속공성공률,퀵오픈공격시도,퀵오픈공격성공,퀵오픈공격피블록,퀵오픈공격범실,세트당퀵오픈공격,퀵오픈공격성공률,서브시도,서브성공,서브범실,세트당서브,서브성공률,블로킹시도,블로킹성공,유효블로킹,블로킹범실,블로킹에러,세트당블로킹,블로킹성공률,블로킹어시스트,디그시도,디그성공,디그실패,디그에러,세트당디그,디그성공률,세트시도,세트성공,세트범실,세트당세트,세트성공률,리시브시도,리시브정확,리시브실패,리시브효율,리시브성공률,경고,기타에러,범실,이단연결,수비,세트당수비
실바,GS칼텍스,OP,36,139,1083,2079,984,47.33,30.74,405000000.0,4.05,718.4,177.38,5.17,2.14,21.03,5.19,1,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000345,5,2,164,181,47.33,562,215,42,80,38.26,35.35,24,13,1,4,54.17,20.51,5,3,1,0,60.0,35.71,755,356,55,54,47.15,99.74,0,0,0,0,0.0,0.0,733,397,65,43,54.16,36.32,508,43,92,0.31,16.28,283,56,70,96,7,0.4,12.79,37,526,431,93,2,3.1,16.47,113,14,3,0.1,2.24,59,28,2,44.07,2.09,0,285,0,0,459,3.29
모마,한국도로공사,OP,35,138,948,1961,879,44.82,32.38,405000000.0,4.05,670.8,165.63,4.86,2.14,18.76,4.63,2,022,진에어 2025~2026 V-리그,201,정규리그,2002,1000170,99,2,130,114,44.82,798,334,48,43,41.85,36.62,55,31,1,2,56.36,30.22,0,0,0,0,0.0,0.0,663,295,58,48,44.49,94.99,0,0,0,0,0.0,0.0,445,219,23,21,49.21,27.67,484,28,83,0.2,15.21,334,41,135,102,2,0.3,13.11,42,450,375,72,3,2.72,13.47,114,16,0,0.12,2.16,23,7,0,30.43,0.81,0,202,0,0,382,2.77
빅토리아,IBK기업은행,OP,36,138,918,1974,835,42.3,26.8,405000000.0,4.05,624.5,154.2,4.53,2.14,16.44,4.06,3,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000425,19,2,137,169,42.3,785,305,57,73,38.85,33.28,23,8,1,0,34.78,31.08,4,2,0,0,50.0,1.83,458,189,21,58,41.27,92.34,0,0,0,0,0.0,0.0,704,331,58,38,47.02,40.55,471,39,60,0.28,15.14,296,44,123,77,7,0.32,11.4,26,562,455,107,0,3.3,15.19,115,11,1,0.08,2.11,73,16,8,10.96,2.58,0,237,0,0,471,3.36
조이,페퍼저축은행,OP,31,117,880,1655,782,47.25,31.06,337500000.0,3.38,606.4,179.41,5.18,2.14,17.79,5.26,4,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000536,7,2,113,155,47.25,550,219,36,61,39.82,28.68,45,29,2,3,64.44,23.56,0,0,0,0,0.0,0.0,523,247,32,60,47.23,88.95,0,0,0,0,0.0,0.0,537,287,43,31,53.45,33.99,433,26,65,0.22,14.43,320,72,75,100,7,0.62,13.68,20,505,384,119,2,3.28,15.59,99,8,2,0.07,2.0,11,0,3,0.0,0.39,0,231,0,0,384,3.26
카리,현대건설,OP,34,132,749,1652,645,39.04,27.24,337500000.0,3.38,550.5,162.87,4.17,2.14,13.38,3.96,5,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000543,27,2,64,131,39.04,481,134,17,33,27.86,23.24,4,0,0,1,0.0,3.54,0,0,0,0,0.0,0.0,536,212,27,64,39.55,84.68,0,0,0,0,0.0,0.0,631,299,20,33,47.39,30.8,429,26,63,0.2,13.32,317,78,90,90,1,0.59,12.7,38,410,331,79,0,2.51,10.99,75,10,2,0.08,1.37,8,1,1,0.0,0.28,0,197,0,0,332,2.51
레베카,흥국생명,OP,36,141,746,1685,694,41.19,29.79,337500000.0,3.38,560.7,165.89,3.98,2.14,12.93,3.83,6,022,진에어 2025~2026 V-리그,201,정규리그,2004,1000149,17,2,106,86,41.19,754,298,49,24,39.52,35.77,6,1,0,0,16.67,6.32,0,0,0,0,0.0,0.0,458,164,32,47,35.81,93.66,0,0,0,0,0.0,0.0,467,231,25,15,49.46,28.88,340,12,21,0.09,10.91,287,40,96,95,0,0.28,11.92,37,326,267,58,1,1.89,9.56,104,11,1,0.08,2.01,2,2,0,100.0,0.07,0,109,0,0,269,1.91
자네트,정관장,OP,31,117,586,1366,513,37.55,22.33,337500000.0,3.38,395.5,117.01,3.38,2.14,7.24,2.14,7,022,진에어 2025~2026 V-리그,201,정규리그,2003,1000538,9,2,63,145,37.55,632,216,31,58,34.18,26.17,10,5,0,1,50.0,12.82,0,0,0,0,0.0,0.0,284,103,11,41,36.27,93.73,0,0,0,0,0.0,0.0,440,189,21,45,42.95,30.16,409,30,46,0.26,14.47,262,43,91,72,7,0.37,11.46,27,464,387,76,1,3.31,14.27,123,22,5,0.19,2.43,15,4,0,26.67,0.54,0,204,0,0,391,3.34
야우치,현대건설,OH,35,139,466,1054,376,35.67,23.15,202500000.0,2.02,459.1,227.28,3.3,0.63,18.61,9.21,8,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000542,12,2,74,58,35.67,422,133,28,24,31.52,20.39,14,4,2,1,28.57,12.39,0,0,0,0,0.0,0.0,15,1,0,2,6.67,2.37,0,0,0,0,0.0,0.0,603,238,44,31,39.47,29.43,596,49,31,0.35,18.5,344,41,109,131,9,0.29,13.78,43,739,602,137,0,4.33,19.81,184,28,0,0.2,3.36,856,357,32,37.97,30.05,0,98,0,0,959,6.67
양효진,현대건설,MB,35,139,460,719,343,47.71,39.78,800000000.0,8.0,390.3,48.79,2.81,0.72,14.51,1.81,9,022,진에어 2025~2026 V-리그,201,정규리그,2001,0000741,14,2,17,40,47.71,382,170,10,23,44.5,18.45,57,28,0,3,49.12,50.44,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,279,145,7,14,51.97,68.22,1,0,0,0,0.0,0.05,402,9,12,0.06,12.48,555,108,196,178,10,0.78,22.24,65,195,164,28,3,1.18,5.23,150,38,5,0.27,2.74,43,13,5,18.6,1.51,0,70,0,0,177,1.24
시마무라,페퍼저축은행,MB,36,136,431,705,351,49.79,40.71,202500000.0,2.02,333.0,164.85,2.45,0.72,11.76,5.82,10,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000537,11,2,41,23,49.79,198,86,11,6,43.43,10.32,53,33,4,1,62.26,27.75,199,100,12,4,50.25,99.0,3,0,0,3,0.0,0.51,246,129,14,7,52.44,72.14,6,3,0,2,50.0,0.38,428,13,18,0.1,14.26,564,67,205,172,2,0.49,24.11,61,201,164,37,0,1.21,6.21,84,18,1,0.13,1.69,37,17,4,35.14,1.32,0,44,0,0,181,1.3
